Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Source,EID
[No author name available],Video caption detection,2014,Advances in Computer Vision and Pattern Recognition,51,,,49,80,,,10.1007/978-1-4471-6515-6__3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984857002&doi=10.1007%2f978-1-4471-6515-6__3&partnerID=40&md5=3cc0f8c1adf12eb8246b237b7faf444e,,,Book Chapter,Scopus,2-s2.0-84984857002
[No author name available],Text detection from video scenes,2014,Advances in Computer Vision and Pattern Recognition,51,,,81,126,,,10.1007/978-1-4471-6515-6__4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984815984&doi=10.1007%2f978-1-4471-6515-6__4&partnerID=40&md5=933baec6bc93a5585a12096e83bd2f07,,,Book Chapter,Scopus,2-s2.0-84984815984
[No author name available],Character segmentation and recognition,2014,Advances in Computer Vision and Pattern Recognition,51,,,145,168,,,10.1007/978-1-4471-6515-6__6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984853594&doi=10.1007%2f978-1-4471-6515-6__6&partnerID=40&md5=f66c7631d80b8e4ba683daa4b904e64d,,,Book Chapter,Scopus,2-s2.0-84984853594
[No author name available],Introduction to video text detection,2014,Advances in Computer Vision and Pattern Recognition,51,,,,,,,10.1007/978-1-4471-6515-6__1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984819370&doi=10.1007%2f978-1-4471-6515-6__1&partnerID=40&md5=6c639fbdfe5260745cd6f4559b613b1d,,,Book Chapter,Scopus,2-s2.0-84984819370
[No author name available],Text detection in multimodal video analysis,2014,Advances in Computer Vision and Pattern Recognition,51,,,221,246,,,10.1007/978-1-4471-6515-6_9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984794860&doi=10.1007%2f978-1-4471-6515-6_9&partnerID=40&md5=e27e80de77c48cc196b10a1ba4d44fe0,,,Book Chapter,Scopus,2-s2.0-84984794860
[No author name available],Video text detection systems,2014,Advances in Computer Vision and Pattern Recognition,51,,,169,193,,,10.1007/978-1-4471-6515-6__7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984844844&doi=10.1007%2f978-1-4471-6515-6__7&partnerID=40&md5=911ce14c65aaf316793c3e55032d5f77,,,Book Chapter,Scopus,2-s2.0-84984844844
[No author name available],Post-processing of video text detection,2014,Advances in Computer Vision and Pattern Recognition,51,,,127,144,,,10.1007/978-1-4471-6515-6__5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984829632&doi=10.1007%2f978-1-4471-6515-6__5&partnerID=40&md5=29c5aa9bf8ef7b31b162ccd9c2df25e3,,,Book Chapter,Scopus,2-s2.0-84984829632
[No author name available],Video preprocessing,2014,Advances in Computer Vision and Pattern Recognition,51,,,19,47,,,10.1007/978-1-4471-6515-6__2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984858186&doi=10.1007%2f978-1-4471-6515-6__2&partnerID=40&md5=dea3906402fd66cd60cae6b0344d6448,,,Book Chapter,Scopus,2-s2.0-84984858186
[No author name available],Performance evaluation,2014,Advances in Computer Vision and Pattern Recognition,51,,,247,254,,,10.1007/978-1-4471-6515-6__10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984813469&doi=10.1007%2f978-1-4471-6515-6__10&partnerID=40&md5=d87285e9047ddbe11776e97adc7a3bf0,,,Book Chapter,Scopus,2-s2.0-84984813469
[No author name available],Vector quantization and mixture estimation,2014,Advances in Computer Vision and Pattern Recognition,53,,,51,68,,,10.1007/978-1-4471-6308-4_4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984832875&doi=10.1007%2f978-1-4471-6308-4_4&partnerID=40&md5=f7016095dcabfdd1aa3ab82ad397ae65,,,Note,Scopus,2-s2.0-84984832875
[No author name available],Model adaptation,2014,Advances in Computer Vision and Pattern Recognition,53,,,201,209,,,10.1007/978-1-4471-6308-4_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984783333&doi=10.1007%2f978-1-4471-6308-4_11&partnerID=40&md5=9c17dfcb024813443f7c4fc70d968dfb,,,Note,Scopus,2-s2.0-84984783333
"Djordjević-Kisačanin M., Vale V., Kisačanin B.",Tic-Tac-Tandroid: A Tic-Tac-Toe mobile vision App that can “see” and “think”,2014,Advances in Computer Vision and Pattern Recognition,68,,,185,198,,,10.1007/978-3-319-09387-1_8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984903689&doi=10.1007%2f978-3-319-09387-1_8&partnerID=40&md5=455dd81054de8e28dfb6543047ad0ca3,"Fermat School of Math and Science, Plano, TX, United States","Djordjević-Kisačanin, M., Fermat School of Math and Science, Plano, TX, United States; Vale, V., Fermat School of Math and Science, Plano, TX, United States; Kisačanin, B., Fermat School of Math and Science, Plano, TX, United States",Book Chapter,Scopus,2-s2.0-84984903689
"Kölsch M., Zaborowski R.",Vehicle detection onboard small unmanned aircraft,2014,Advances in Computer Vision and Pattern Recognition,68,,,199,215,,,10.1007/978-3-319-09387-1_9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984876914&doi=10.1007%2f978-3-319-09387-1_9&partnerID=40&md5=b172e31762cf6775458cbeac057f8ab2,"Naval Postgraduate School, Monterey, CA, United States","Kölsch, M., Naval Postgraduate School, Monterey, CA, United States; Zaborowski, R., Naval Postgraduate School, Monterey, CA, United States",Book Chapter,Scopus,2-s2.0-84984876914
"Raja Y., Gong S.",Scalable multi-camera tracking in a metropolis,2014,Advances in Computer Vision and Pattern Recognition,56,,,413,438,,1,10.1007/978-1-4471-6296-4_20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986199004&doi=10.1007%2f978-1-4471-6296-4_20&partnerID=40&md5=d2fdc640c8758360996f9d0b91c4d96b,"Vision Semantics Ltd, London, United Kingdom; Queen Mary University of London, London, United Kingdom","Raja, Y., Vision Semantics Ltd, London, United Kingdom; Gong, S., Queen Mary University of London, London, United Kingdom",Book Chapter,Scopus,2-s2.0-84986199004
"Ma B., Su Y., Jurie F.",Discriminative image descriptors for person re-identification,2014,Advances in Computer Vision and Pattern Recognition,56,,,23,42,,2,10.1007/978-1-4471-6296-4_2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986218106&doi=10.1007%2f978-1-4471-6296-4_2&partnerID=40&md5=268794cec0178d3224abdb268a8566ac,"School of Computer and Control Engineering, University of Chinese Academy of Sciences, Beijing, China; GREYC—CNRS UMR 6072, University of Caen Basse-Normandie, Caen, France","Ma, B., School of Computer and Control Engineering, University of Chinese Academy of Sciences, Beijing, China; Su, Y., GREYC—CNRS UMR 6072, University of Caen Basse-Normandie, Caen, France; Jurie, F., GREYC—CNRS UMR 6072, University of Caen Basse-Normandie, Caen, France",Book Chapter,Scopus,2-s2.0-84986218106
"Strat S.T., Benoit A., Lambert P., Bredin H., Quénot G.",Hierarchical late fusion for concept detection in videos,2014,Advances in Computer Vision and Pattern Recognition,64,,,53,77,,,10.1007/978-3-319-05696-8_3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986208155&doi=10.1007%2f978-3-319-05696-8_3&partnerID=40&md5=68c0dbaf1c001f9319af1adc458beda8,"LISTIC-University of Savoie, Annecy, France; LAPI-University “POLITEHNICA” of Bucharest, Bucharest, Romania; CNRS-LIMSI, Orsay, France; UJF-Grenoble 1/UPMF-Grenoble 2/Grenoble INP/CNRS, LIG UMR 5217, Grenoble, France","Strat, S.T., LISTIC-University of Savoie, Annecy, France, LAPI-University “POLITEHNICA” of Bucharest, Bucharest, Romania; Benoit, A., LISTIC-University of Savoie, Annecy, France; Lambert, P., LISTIC-University of Savoie, Annecy, France; Bredin, H., CNRS-LIMSI, Orsay, France; Quénot, G., UJF-Grenoble 1/UPMF-Grenoble 2/Grenoble INP/CNRS, LIG UMR 5217, Grenoble, France",Book Chapter,Scopus,2-s2.0-84986208155
"Berger K., Kastner M., Schroeder Y., Guthe S.",Using sparse optical flow for two-phase gas flow capturing with multiple kinect,2014,Advances in Computer Vision and Pattern Recognition,67,,,157,169,,,10.1007/978-3-319-08651-4_8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984910804&doi=10.1007%2f978-3-319-08651-4_8&partnerID=40&md5=d4fce5b130a445bda8995679cefc4a5d,"OeRC, University of Oxford, Oxford, United Kingdom; TU Braunschweig, Braunschweig, Germany","Berger, K., OeRC, University of Oxford, Oxford, United Kingdom; Kastner, M., TU Braunschweig, Braunschweig, Germany; Schroeder, Y., TU Braunschweig, Braunschweig, Germany; Guthe, S., TU Braunschweig, Braunschweig, Germany",Book Chapter,Scopus,2-s2.0-84984910804
"Bąk S., Brémond F.",Re-identification by covariance descriptors,2014,Advances in Computer Vision and Pattern Recognition,56,,,71,91,,6,10.1007/978-1-4471-6296-4_4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973285387&doi=10.1007%2f978-1-4471-6296-4_4&partnerID=40&md5=8196197e2e1bdcdbce211289e67b8141,"INRIA, Sophia Antipolis, France","Bąk, S., INRIA, Sophia Antipolis, France; Brémond, F., INRIA, Sophia Antipolis, France",Book Chapter,Scopus,2-s2.0-84973285387
"Wang X., Zhao R.",Person re-identification: System design and evaluation overview,2014,Advances in Computer Vision and Pattern Recognition,56,,,351,370,,6,10.1007/978-1-4471-6296-4_17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986213849&doi=10.1007%2f978-1-4471-6296-4_17&partnerID=40&md5=0a2f1ec1ed21b045e30929b878841110,"Department of Electronic Engineering, The Chinese University of Hong Kong, Shatin, Hong Kong","Wang, X., Department of Electronic Engineering, The Chinese University of Hong Kong, Shatin, Hong Kong; Zhao, R., Department of Electronic Engineering, The Chinese University of Hong Kong, Shatin, Hong Kong",Book Chapter,Scopus,2-s2.0-84986213849
"Qiu Q., Ni J., Chellappa R.",Dictionary-based domain adaptation methods for the re-identification of faces,2014,Advances in Computer Vision and Pattern Recognition,56,,,269,285,,2,10.1007/978-1-4471-6296-4_13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986198317&doi=10.1007%2f978-1-4471-6296-4_13&partnerID=40&md5=0e4a0adc140212ec37c2b9aae5b38e68,"Department of Electrical and Computer Engineering, Duke University, Durham, NC, United States; Department of Electrical and Computer Engineering, University of Maryland, College Park, MD, United States; Center for Automation Research, UMIACS, University of Maryland, College Park, MD, United States","Qiu, Q., Department of Electrical and Computer Engineering, Duke University, Durham, NC, United States; Ni, J., Department of Electrical and Computer Engineering, University of Maryland, College Park, MD, United States, Center for Automation Research, UMIACS, University of Maryland, College Park, MD, United States; Chellappa, R., Department of Electrical and Computer Engineering, University of Maryland, College Park, MD, United States, Center for Automation Research, UMIACS, University of Maryland, College Park, MD, United States",Book Chapter,Scopus,2-s2.0-84986198317
"Gong S., Cristani M., Yan S., Loy C.C.",Preface,2014,Advances in Computer Vision and Pattern Recognition,56,,,v,vii,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986214341&partnerID=40&md5=3d65cc2652bee6725c4ba54e5856ea44,"Queen Mary University, London, United Kingdom; University of Verona, Verona, Italy; National University of Singapore, Singapore; The Chinese University of Hong Kong, Shatin, Hong Kong","Gong, S., Queen Mary University, London, United Kingdom; Cristani, M., University of Verona, Verona, Italy; Yan, S., National University of Singapore, Singapore; Loy, C.C., The Chinese University of Hong Kong, Shatin, Hong Kong",Editorial,Scopus,2-s2.0-84986214341
Tian Y.,RGB-D sensor-based computer vision assistive technology for visually impaired persons,2014,Advances in Computer Vision and Pattern Recognition,67,,,173,194,,,10.1007/978-3-319-08651-4_9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984878640&doi=10.1007%2f978-3-319-08651-4_9&partnerID=40&md5=8f92b57bb85d3bc9f278d49d9b18f610,"Department of Electrical Engineering, The City College of New York, New York, NY, United States","Tian, Y., Department of Electrical Engineering, The City College of New York, New York, NY, United States",Book Chapter,Scopus,2-s2.0-84984878640
Wolf M.,Distributed smart cameras in the age of cloud computing and the internet-of-things,2014,Advances in Computer Vision and Pattern Recognition,68,,,239,248,,,10.1007/978-3-319-09387-1_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984869368&doi=10.1007%2f978-3-319-09387-1_11&partnerID=40&md5=e37e424c80241c06930060048eaa22f3,"Georgia Institute of Technology, Atlanta, GA, United States","Wolf, M., Georgia Institute of Technology, Atlanta, GA, United States",Book Chapter,Scopus,2-s2.0-84984869368
"Karaman S., Lisanti G., Bagdanov A.D., Del Bimbo A.",From re-identification to identity inference: labeling consistency by local similarity constraints,2014,Advances in Computer Vision and Pattern Recognition,56,,,287,307,,4,10.1007/978-1-4471-6296-4_14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986199970&doi=10.1007%2f978-1-4471-6296-4_14&partnerID=40&md5=9a9f373b6cc4c0a24230bbba4f3a5efa,"Media Integration and Communication Center, University of Florence, Viale Morgagni 65, Florence, Italy","Karaman, S., Media Integration and Communication Center, University of Florence, Viale Morgagni 65, Florence, Italy; Lisanti, G., Media Integration and Communication Center, University of Florence, Viale Morgagni 65, Florence, Italy; Bagdanov, A.D., Media Integration and Communication Center, University of Florence, Viale Morgagni 65, Florence, Italy; Del Bimbo, A., Media Integration and Communication Center, University of Florence, Viale Morgagni 65, Florence, Italy",Book Chapter,Scopus,2-s2.0-84986199970
"Fleuret F., Shitrit H.B., Fua P.",Re-identification for improved people tracking,2014,Advances in Computer Vision and Pattern Recognition,56,,,309,330,,1,10.1007/978-1-4471-6296-4_15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986220519&doi=10.1007%2f978-1-4471-6296-4_15&partnerID=40&md5=35cc12cdd837ee8fab9b92bbdc93fa51,"IDIAP, Martigny, Switzerland; EPFL, Lausanne, Switzerland","Fleuret, F., IDIAP, Martigny, Switzerland; Shitrit, H.B., EPFL, Lausanne, Switzerland; Fua, P., EPFL, Lausanne, Switzerland",Book Chapter,Scopus,2-s2.0-84986220519
"Soomro K., Zamir A.R.",Action recognition in realistic sports videos,2014,Advances in Computer Vision and Pattern Recognition,71,,,181,208,,6,10.1007/978-3-319-09396-3_9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921837193&doi=10.1007%2f978-3-319-09396-3_9&partnerID=40&md5=aa738d3f98a87205f0312e3e2f60a4e0,"Center for Research in Computer Vision, University of Central Florida, Orlando, FL, United States; Gates Computer Science, #130, Stanford University, 353 Serra Mall, Stanford, CA, United States","Soomro, K., Center for Research in Computer Vision, University of Central Florida, Orlando, FL, United States; Zamir, A.R., Gates Computer Science, #130, Stanford University, 353 Serra Mall, Stanford, CA, United States",Article,Scopus,2-s2.0-84921837193
"Myers G.K., Snoek C.G.M., Nevatia R., Nallapati R., van Hout J., Pancoast S., Sun C., Habibian A., Koelma D.C., van de Sande K.E.A., Smeulders A.W.M.",Evaluating multimedia features and fusion for example-based event detection,2014,Advances in Computer Vision and Pattern Recognition,64,,,109,133,,,10.1007/978-3-319-05696-8_5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986222452&doi=10.1007%2f978-3-319-05696-8_5&partnerID=40&md5=eaf719e552911062076a720c9c0d24b6,"SRI International, 333 Ravenswood Avenue, Menlo Park, CA, United States; University of Amsterdam (UvA), Science Park 904, P.O. Box 94323, Amsterdam, Netherlands; Institute for Robotics and Intelligent Systems, University of Southern California (USC), Los Angeles, CA, United States; Thomas J. Watson Research Center, 1101 Kitchawan Road, Yorktown Heights, NY, United States; University of Amsterdam (UvA)-Euvision, Matrix II, Science Park 400, Amsterdam, Netherlands","Myers, G.K., SRI International, 333 Ravenswood Avenue, Menlo Park, CA, United States; Snoek, C.G.M., University of Amsterdam (UvA), Science Park 904, P.O. Box 94323, Amsterdam, Netherlands; Nevatia, R., Thomas J. Watson Research Center, 1101 Kitchawan Road, Yorktown Heights, NY, United States; Nallapati, R., Institute for Robotics and Intelligent Systems, University of Southern California (USC), Los Angeles, CA, United States; van Hout, J., SRI International, 333 Ravenswood Avenue, Menlo Park, CA, United States; Pancoast, S., SRI International, 333 Ravenswood Avenue, Menlo Park, CA, United States; Sun, C., Institute for Robotics and Intelligent Systems, University of Southern California (USC), Los Angeles, CA, United States; Habibian, A., University of Amsterdam (UvA)-Euvision, Matrix II, Science Park 400, Amsterdam, Netherlands; Koelma, D.C., University of Amsterdam (UvA), Science Park 904, P.O. Box 94323, Amsterdam, Netherlands; van de Sande, K.E.A., University of Amsterdam (UvA), Science Park 904, P.O. Box 94323, Amsterdam, Netherlands; Smeulders, A.W.M., University of Amsterdam (UvA), Science Park 904, P.O. Box 94323, Amsterdam, Netherlands",Book Chapter,Scopus,2-s2.0-84986222452
"Fernandez Arguedas V., Zhang Q., Izquierdo E.",Multimodal fusion in surveillance applications,2014,Advances in Computer Vision and Pattern Recognition,64,,,161,184,,,10.1007/978-3-319-05696-8_7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986206671&doi=10.1007%2f978-3-319-05696-8_7&partnerID=40&md5=272c8c96063b12353c880e3aa2580906,"Multimedia and Vision Research Group, School of Electronic Engineering and Computer Science, Queen Mary University of London, Mile End Road, London, United Kingdom; European Commission-Joint Research Centre (JRC), Via E. Fermi, Ispra, VA, Italy","Fernandez Arguedas, V., Multimedia and Vision Research Group, School of Electronic Engineering and Computer Science, Queen Mary University of London, Mile End Road, London, United Kingdom, European Commission-Joint Research Centre (JRC), Via E. Fermi, Ispra, VA, Italy; Zhang, Q., Multimedia and Vision Research Group, School of Electronic Engineering and Computer Science, Queen Mary University of London, Mile End Road, London, United Kingdom; Izquierdo, E., Multimedia and Vision Research Group, School of Electronic Engineering and Computer Science, Queen Mary University of London, Mile End Road, London, United Kingdom",Book Chapter,Scopus,2-s2.0-84986206671
"Layne R., Hospedales T.M., Gong S.",Attributes-based re-identification,2014,Advances in Computer Vision and Pattern Recognition,56,,,93,117,,4,10.1007/978-1-4471-6296-4_5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986203065&doi=10.1007%2f978-1-4471-6296-4_5&partnerID=40&md5=f49123805e63d60a3256ed840dec7726,"Queen Mary University of London, London, United Kingdom","Layne, R., Queen Mary University of London, London, United Kingdom; Hospedales, T.M., Queen Mary University of London, London, United Kingdom; Gong, S., Queen Mary University of London, London, United Kingdom",Book Chapter,Scopus,2-s2.0-84986203065
