Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,EID
"Chaganty A.T., Nori A.V., Rajamani S.K.",Efficiently sampling probabilistic programs via program analysis,2013,Journal of Machine Learning Research,31,,,153,160,,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954244367&partnerID=40&md5=ea391a88efa05a20058ff39e5166e24c,"Stanford University, United States; Microsoft Research India, India","Chaganty, A.T., Stanford University, United States; Nori, A.V., Microsoft Research India, India; Rajamani, S.K., Microsoft Research India, India","Probabilistic programs are intuitive and succinct representations of complex probability distributions. A natural approach to performing inference over these programs is to execute them and compute statistics over the resulting samples. Indeed, this approach has been taken before in a number of probabilistic programming tools. In this paper, we address two key challenges of this paradigm: (i) ensuring samples are well distributed in the combinatorial space of the program, and (ii) efficiently generating samples with minimal rejection. We present a new sampling algorithm Qi that addresses these challenges using concepts from the field of program analysis. To solve the first challenge (getting diverse samples), we use a technique called symbolic execution to systematically explore all the paths in a program. In the case of programs with loops, we systematically explore all paths up to a given depth, and present theorems on error bounds on the estimates as a function of the path bounds used. To solve the second challenge (efficient samples with minimal rejection), we propagate observations backward through the program using the notion of Dijkstra's weakest preconditions and hoist these propagated conditions to condition elementary distributions during sampling. We present theorems explaining the mathematical properties of Qi, as well as empirical results from an implementation of the algorithm. Copyright 2013 by the authors.",,Artificial intelligence; Error analysis; Sampling; Generating samples; Mathematical properties; Natural approaches; Probabilistic programming; Probabilistic programs; Succinct representation; Symbolic execution; Weakest precondition; Probability distributions,,Ravikumar P.Carvalho C.M.,Microtome Publishing,15324435,,,,English,J. Mach. Learn. Res.,Conference Paper,Scopus,2-s2.0-84954244367
"Anderson J., Goyal N., Rademacher L.",Efficient learning of simplices,2013,Journal of Machine Learning Research,30,,,1020,1045,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898050658&partnerID=40&md5=249e1caaf32f566b605181062a995e8a,"Computer Science and Engineering, Ohio State University, United States; Microsoft Research, India","Anderson, J., Computer Science and Engineering, Ohio State University, United States; Goyal, N., Microsoft Research, India; Rademacher, L., Computer Science and Engineering, Ohio State University, United States","We show an efficient algorithm for the following problem: Given uniformly random points from an arbitrary n-dimensional simplex, estimate the simplex. The size of the sample and the number of arithmetic operations of our algorithm are polynomial in n. This answers a question of Frieze, Jerrum and Kannan Frieze et al. (1996). Our result can also be interpreted as efficiently learning the intersection of n + 1 half-spaces in Rn in the model where the intersection is bounded and we are given polynomially many uniform samples from it. Our proof uses the local search technique from Independent Component Analysis (ICA), also used by Frieze et al. (1996). Unlike these previous algorithms, which were based on analyzing the fourth moment, ours is based on the third moment. We also show a direct connection between the problem of learning a simplex and ICA: a simple randomized reduction to ICA from the problem of learning a simplex. The connection is based on a known representation of the uniform measure on a simplex. Similar representations lead to a reduction from the problem of learning an affine transformation of an n-dimensional lp ball to ICA. © 2013 J. Anderson, N. Goyal &amp; L. Rademacher.",Independent component analysis; Learning convex bodies; Method of moments; Randomized reductions,Algorithms; Method of moments; Affine transformations; Arithmetic operations; Convex body; Efficient learning; Following problem; Independent component analysis(ICA); Local search techniques; Randomized reductions; Independent component analysis,,,Microtome Publishing,15324435,,,,English,J. Mach. Learn. Res.,Conference Paper,Scopus,2-s2.0-84898050658
"Agrawal S., Goyal N.",Further optimal regret bounds for thompson sampling,2013,Journal of Machine Learning Research,31,,,99,107,,7,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898938874&partnerID=40&md5=3d8ea210023c4fb38d10f18d80b342a3,"Microsoft Research India, India","Agrawal, S., Microsoft Research India, India; Goyal, N., Microsoft Research India, India","Thompson Sampling is one of the oldest heuristics for multi-armed bandit problems. It is a randomized algorithm based on Bayesian ideas, and has recently generated significant interest after several studies demonstrated it to have comparable or better empirical performance compared to the state of the art methods. In this paper, we provide a novel regret analysis for Thompson Sampling that proves the first near-optimal problem-independent bound of O(√NT ln T) on the expected regret of this algorithm. Our novel martingale-based analysis techniques are conceptually simple, and easily extend to distributions other than the Beta distribution. For the version of Thompson Sampling that uses Gaussian priors, we prove a problem-independent bound of O(√NT lnN) on the expected regret, and demonstrate the optimality of this bound by providing a matching lower bound. This lower bound of Ω(√NT lnN) is the first lower bound on the performance of a natural version of Thompson Sampling that is away from the general lower bound of O(√NT) for the multi-armed bandit problem. Our near-optimal problem-independent bounds for Thompson Sampling solve a COLT 2012 open problem of Chapelle and Li. Additionally, our techniques simultaneously provide the optimal problem-dependent bound of (1+ε)Σiln T/d(μi,μ1) +O(Nε2 ) on the expected regret. The optimal problem-dependent regret bound for this problem was first proven recently by Kaufmann et al. [2012b]. Copyright 2013 by the authors.",,Algorithms; Artificial intelligence; Probability; Statistics; Analysis techniques; Beta distributions; Empirical performance; Multi-armed bandit problem; Optimal problems; Randomized Algorithms; State-of-the-art methods; Thompson samplings; Optimization,,Ravikumar P.Carvalho C.M.,Microtome Publishing,15324435,,,,English,J. Mach. Learn. Res.,Conference Paper,Scopus,2-s2.0-84898938874
Agarwal S.,Surrogate regret bounds for the area under the ROC curve via strongly proper losses,2013,Journal of Machine Learning Research,30,,,338,353,,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898036279&partnerID=40&md5=e7708064dab4417019b7abbd83fb0af6,"Department of Computer Science and Automation, Indian Institute of Science, Bangalore 560012, India","Agarwal, S., Department of Computer Science and Automation, Indian Institute of Science, Bangalore 560012, India","The area under the ROC curve (AUC) is a widely used performance measure in machine learning, and has been widely studied in recent years particularly in the context of bipartite ranking. A dominant theoretical and algorithmic framework for AUC optimization/bipartite ranking has been to reduce the problem to pairwise classification; in particular, it is well known that the AUC regret can be formulated as a pairwise classification regret, which in turn can be upper bounded using usual regret bounds for binary classification. Recently, Kotlowski et al. (2011) showed AUC regret bounds in terms of the regret associated with 'balanced' versions of the standard (non-pairwise) logistic and exponential losses. In this paper, we obtain such (non-pairwise) surrogate regret bounds for the AUC in terms of a broad class of proper (composite) losses that we term strongly proper. Our proof technique is considerably simpler than that of Kotlowski et al. (2011), and relies on properties of proper (composite) losses as elucidated recently by Reid and Williamson (2009, 2010, 2011) and others. Our result yields explicit surrogate bounds (with no hidden balancing terms) in terms of a variety of strongly proper losses, including for example logistic, exponential, squared and squared hinge losses. An important consequence is that standard algorithms minimizing a (non-pairwise) strongly proper loss, such as logistic regression and boosting algorithms (assuming a universal function class and appropriate regularization), are in fact AUC-consistent; moreover, our results allow us to quantify the AUC regret in terms of the corresponding surrogate regret. We also obtain tighter surrogate regret bounds under certain low-noise conditions via a recent result of Clémençon and Robbiano (2011). © 2013 S. Agarwal.",Area under ROC curve (AUC); Bipartite ranking; Proper losses; Regret bounds; Statistical consistency; Strongly proper losses,Data handling; Algorithmic framework; Area under roc curve (AUC); Area under the ROC curve; Binary classification; Bipartite ranking; Pairwise classification; Regret bounds; Statistical consistencies; Algorithms,"Agarwal, S.; Department of Computer Science and Automation, Indian Institute of Science, Bangalore 560012, India; email: SHIVANI@CSA.IISC.ERNET.IN",,Microtome Publishing,15324435,,,,English,J. Mach. Learn. Res.,Conference Paper,Scopus,2-s2.0-84898036279
"Kaufmann E., Kalyanakrishnan S.",Information complexity in bandit subset selection,2013,Journal of Machine Learning Research,30,,,228,251,,7,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898028877&partnerID=40&md5=5d77a1a8eafcfc3e1c0d516292231484,"Institut Mines-Telecom, France; Telecom ParisTech, France; Yahoo Labs Bangalore, India","Kaufmann, E., Institut Mines-Telecom, France, Telecom ParisTech, France; Kalyanakrishnan, S., Yahoo Labs Bangalore, India","We consider the problem of efficiently exploring the arms of a stochastic bandit to identify the best subset of a specified size. Under the PAC and the fixed-budget formulations, we derive improved bounds by using KL-divergence-based confidence intervals. Whereas the application of a similar idea in the regret setting has yielded bounds in terms of the KL-divergence between the arms, our bounds in the pure-exploration setting involve the ""Chernoff information"" between the arms. In addition to introducing this novel quantity to the bandits literature, we contribute a comparison between strategies based on uniform and adaptive sampling for pure-exploration problems, finding evidence in favor of the latter. © 2013 E. Kaufmann & S. Kalyanakrishnan.",KL-divergence; Stochastic multi-armed bandits; Subset selection,Artificial intelligence; Software engineering; Adaptive sampling; Chernoff information; Confidence interval; Information complexity; KL-divergence; Multi armed bandit; Subset selection; Stochastic systems,,,Microtome Publishing,15324435,,,,English,J. Mach. Learn. Res.,Conference Paper,Scopus,2-s2.0-84898028877
"Das M.K., Bhattacharya S., Bhattacharyya C., Gopinath K.",Subtle topic models and discovering subtly manifested software concerns automatically,2013,"30th International Conference on Machine Learning, ICML 2013",,PART 2,,912,920,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897501111&partnerID=40&md5=eb90ce53badd1aefa14d170d4c73d27e,"IBM Research, India; Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India","Das, M.K., IBM Research, India, Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India; Bhattacharya, S., IBM Research, India; Bhattacharyya, C., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India; Gopinath, K., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India","In a recent pioneering approach LDA was used to discover cross cutting concerns(CCC) automatically from software codebases. LDA though successful in detecting prominent concerns, fails to detect many useful CCCs including ones that may be heavily executed but elude discovery because they do not have a strong prevalence in source-code. We pose this problem as that of discovering topics that rarely occur in individual documents, which we will refer to as subtle topics. Recently an interesting approach, namely focused topic models(FTM) was proposed in(Williamson et ah, 2010) for detecting rare topics. FTM, though successful in detecting topics which occur prominently in very few documents, is unable to detect subtle topics. Discovering subtle topics thus remains an important open problem. To address this issue we propose subtle topic models(STM). STM uses a generalized stick breaking process(GSBP) as a prior for defining multiple distributions over topics. This hierarchical structure on topics allows STM to discover rare topics beyond the capabilities of FTM. The associated inference is non-standard and is solved by exploiting the relationship between GSBP and generalized Dirichlet distribution. Empirical results show that STM is able to discover subtle CCC in two benchmark code-bases, a feat which is beyond the scope of existing topic models, thus demonstrating the potential of the model in automated concern discovery, a known difficult problem in Software Engineering. Furthermore it is observed that even in general text corpora STM outperforms the state of art in discovering subtle topics. Copyright 2013 by the author(s).",,Software engineering; Breaking process; Cross-cutting concerns; Generalized dirichlet distribution; Hierarchical structures; Multiple distribution; Text corpora; Topic model; Learning systems,,,International Machine Learning Society (IMLS),,,,,English,"Int. Conf. Mach. Learn., ICML",Conference Paper,Scopus,2-s2.0-84897501111
"Agrawal S., Goyal N.",Thompson sampling for contextual bandits with linear payoffs,2013,"30th International Conference on Machine Learning, ICML 2013",,PART 2,,1164,1172,,5,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897563832&partnerID=40&md5=a221c618db9f9d54b6fb86eeb46e01fa,"Microsoft Research India, India","Agrawal, S., Microsoft Research India, India; Goyal, N., Microsoft Research India, India","Thompson Sampling is one of the oldest heuristics for multi-armed bandit problems. It is a randomized algorithm based on Bayesian ideas, and has recently generated significant interest after several studies demonstrated it to have better empirical performance compared to the state-of-the-art methods. However, many questions regarding its theoretical performance remained open. In this paper, we design and analyze a generalization of Thompson Sampling algorithm for the stochastic contextual multi-armed bandit problem with linear payoff functions, when the contexts are provided by an adaptive adversary. This is among the most important and widely studied version of the contextual bandits problem. We prove a high probability regret bound of Õ(d 2/ε√T1+ε) in time T for any 0 &lt; ε &lt; 1, where d is the dimension of each context vector and ε is a parameter used by the algorithm. Our results provide the first theoretical guarantees for the contextual version of Thompson Sampling, and are close to the lower bound of Ω(d√T) for this problem. This essentially solves a COLT open problem of Chapelle and Li [COLT 2012]. Copyright 2013 by the author(s).",,Learning systems; Statistics; Adaptive adversary; Contextual bandits; Empirical performance; Multi-armed bandit problem; Randomized Algorithms; State-of-the-art methods; Theoretical guarantees; Theoretical performance; Learning algorithms,,,International Machine Learning Society (IMLS),,,,,English,"Int. Conf. Mach. Learn., ICML",Conference Paper,Scopus,2-s2.0-84897563832
"Jose C., Goyal P., Aggrwal P., Varma M.",Local deep kernel learning for efficient non-linear SVM prediction,2013,"30th International Conference on Machine Learning, ICML 2013",,PART 2,,1523,1531,,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897556730&partnerID=40&md5=8383c5a81006fca5b9d0dcda67494fa1,"Indian Institute of Technology Delhi, Hauz Khas, New Delhi, 110 016, India; Microsoft Research India, Bangalore, 560 001, India","Jose, C., Indian Institute of Technology Delhi, Hauz Khas, New Delhi, 110 016, India; Goyal, P., Indian Institute of Technology Delhi, Hauz Khas, New Delhi, 110 016, India; Aggrwal, P., Indian Institute of Technology Delhi, Hauz Khas, New Delhi, 110 016, India; Varma, M., Microsoft Research India, Bangalore, 560 001, India","Our objective is to speed up non-linear SVM prediction while maintaining classification accuracy above an acceptable limit. We generalize Localized Multiple Kernel Learning so as to learn a tree-based primal feature embedding which is high dimensional and sparse. Primal based classification decouples prediction costs from the number of support vectors and our tree-structured features efficiently encode non-linearities while speeding up prediction exponentially over the state-of-the-art. We develop routines for optimizing over the space of tree-structured features and efficiently scale to problems with more than half a million training points. Experiments on benchmark data sets reveal that our formulation can reduce prediction costs by more than three orders of magnitude in some cases with a moderate sacrifice in classification accuracy as compared to RBF-SVMs. Furthermore, our formulation leads to better classification accuracies over leading methods. Copyright 2013 by the author(s).",,Classification (of information); Support vector machines; Acceptable limit; Classification accuracy; Feature embedding; High-dimensional; Kernel learning; Multiple Kernel Learning; Three orders of magnitude; Training points; Forecasting,,,International Machine Learning Society (IMLS),,,,,English,"Int. Conf. Mach. Learn., ICML",Conference Paper,Scopus,2-s2.0-84897556730
"Menon A.K., Narasimhan H., Agarwal S., Chawla S.",On the statistical consistency of algorithms for binary classification under class imbalance,2013,"30th International Conference on Machine Learning, ICML 2013",,PART 2,,1640,1648,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897506611&partnerID=40&md5=5160840b1459bc14c6f84cdc0b179ac1,"University of California, San Diego, San Diego, CA 92093, United States; Indian Institute of Science, Bangalore 560012, India; University of Sydney, NICTA, Sydney, NSW, Australia","Menon, A.K., University of California, San Diego, San Diego, CA 92093, United States; Narasimhan, H., Indian Institute of Science, Bangalore 560012, India; Agarwal, S., Indian Institute of Science, Bangalore 560012, India; Chawla, S., University of Sydney, NICTA, Sydney, NSW, Australia","Class imbalance situations, where one class is rare compared to the other, arise frequently in machine learning applications. It is well known that the usual misclassification error is ill-suited for measuring performance in such settings. A wide range of performance measures have been proposed for this problem. However, despite the large number of studies on this problem, little is understood about the statistical consistency of the algorithms proposed with respect to the performance measures of interest. In this paper, we study consistency with respect to one such performance measure, namely the arithmetic mean of the true positive and true negative rates (AM), and establish that some practically popular approaches, such as applying an empirically determined threshold to a suitable class probability estimate or performing an empirically balanced form of risk minimization, are in fact consistent with respect to the AM (under mild conditions on the underlying distribution). Experimental results confirm our consistency theorems. Copyright 2013 by the author(s).",,Algorithms; Learning systems; Binary classification; Machine learning applications; Measuring performance; Misclassification error; Performance measure; Statistical consistencies; True negative rates; Underlying distribution; Risk assessment,,,International Machine Learning Society (IMLS),,,,,English,"Int. Conf. Mach. Learn., ICML",Conference Paper,Scopus,2-s2.0-84897506611
"Kar P., Sriperumbudur B.K., Jain P., Karnick H.C.",On the generalization ability of online learning algorithms for pairwise loss functions,2013,"30th International Conference on Machine Learning, ICML 2013",,PART 2,,1478,1486,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897547320&partnerID=40&md5=cc54d8075d42707ae9c9bc4ff5a81fef,"Department of Computer Science and Engineering, Indian Institute of Technology, Kanpur, UP 208 016, India; Statistical Laboratory, Centre for Mathematical Sciences, Wilberforce Road, Cambridge, CB3 0WB, United Kingdom; Microsoft Research India, Vigyan, #9, Lavelle Road, Bangalore, KA 560 001, India","Kar, P., Department of Computer Science and Engineering, Indian Institute of Technology, Kanpur, UP 208 016, India; Sriperumbudur, B.K., Statistical Laboratory, Centre for Mathematical Sciences, Wilberforce Road, Cambridge, CB3 0WB, United Kingdom; Jain, P., Microsoft Research India, Vigyan, #9, Lavelle Road, Bangalore, KA 560 001, India; Karnick, H.C., Department of Computer Science and Engineering, Indian Institute of Technology, Kanpur, UP 208 016, India","In this paper, we study the generalization properties of online learning based stochastic methods for supervised learning problems where the loss function is dependent on more than one training sample (e.g., metric learning, ranking). We present a generic decoupling technique that enables us to provide Rademacher complexity-based generalization error bounds. Our bounds are in general tighter than those obtained by Wang et al. (2012) for the same problem. Using our decoupling technique, we are further able to obtain fast convergence rates for strongly convex pairwise loss functions. We are also able to analyze a class of memory efficient online learning algorithms for pairwise learning problems that use only a bounded subset of past training samples to update the hypothesis at each step. Finally, in order to complement our generalization bounds, we propose a novel memory efficient online learning algorithm for higher order learning problems with bounded regret guarantees. Copyright 2013 by the author(s).",,Error analysis; Learning systems; Sampling; Decoupling technique; Fast convergence rate; Generalization ability; Generalization error bounds; Generalization properties; Higher-order learning; Online learning algorithms; Supervised learning problems; Learning algorithms,,,International Machine Learning Society (IMLS),,,,,English,"Int. Conf. Mach. Learn., ICML",Conference Paper,Scopus,2-s2.0-84897547320
"Jain P., Thakurta A.",Differentially private learning with kernels,2013,"30th International Conference on Machine Learning, ICML 2013",,PART 2,,1155,1163,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897528689&partnerID=40&md5=535ac3fc758fc1b1d755ae6a235aca48,"Microsoft Research Labs, Bangalore, India; Stanford University, Microsoft Research Silicon Valley Campus, United States","Jain, P., Microsoft Research Labs, Bangalore, India; Thakurta, A., Stanford University, Microsoft Research Silicon Valley Campus, United States","In this paper, we consider the problem of differentially private learning where access to the training features is through a kernel function only. As mentioned in Chaudhuri et al. (2011), the problem seems to be intractable for general kernel functions in the standard learning model of releasing different private predictor. We study this problem in three simpler but practical settings. We first study an interactive model where the user sends its test points to a trusted learner (like search engines) and expects accurate but differentially private predictions. In the second model, the learner has access to a subset of the unlabeled test set using which it releases a predictor, which preserves privacy of the training data. (NIH, 2003) is an example of such publicly available test set. Our third model is similar to the traditional model, where learner is oblivious to the test set but the kernels are restricted to functions over vector spaces. For each of the models, we derive differentially private learning algorithms with provable ""utility"" or error bounds. Moreover, we show that our methods can also be applied to the traditional model where they demonstrate better dimensionality dependence when compared to the methods of (Rubinstein et ah, 2009; Chaudhuri et al., 2011). Finally, we provide experimental validation of our methods. Copyright 2013 by the author(s).",,Error analysis; Learning systems; Search engines; Experimental validations; Interactive modeling; Kernel function; Learning models; Test points; Traditional models; Training data; Training features; Learning algorithms,,,International Machine Learning Society (IMLS),,,,,English,"Int. Conf. Mach. Learn., ICML",Conference Paper,Scopus,2-s2.0-84897528689
"Lai L.L., Zhang H.T., Lai C.S., Xu F.Y., Mishra S.",Investigation on July 2012 Indian blackout,2013,Proceedings - International Conference on Machine Learning and Cybernetics,1,,6890450,92,97,,4,10.1109/ICMLC.2013.6890450,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907260883&doi=10.1109%2fICMLC.2013.6890450&partnerID=40&md5=fb509fbbf1fe87b198476927f9f7199a,"State Grid Energy Research Institute, Beijing, China; Indian Institute of Technology Delhi, Delhi, India; City University London, United Kingdom; Brunel University, United Kingdom","Lai, L.L., State Grid Energy Research Institute, Beijing, China; Zhang, H.T., State Grid Energy Research Institute, Beijing, China, City University London, United Kingdom; Lai, C.S., State Grid Energy Research Institute, Beijing, China, Brunel University, United Kingdom; Xu, F.Y., State Grid Energy Research Institute, Beijing, China; Mishra, S., Indian Institute of Technology Delhi, Delhi, India","Twice Indian blackouts occurred at the end of July in 2012 left over 600 million of people in the dark for several hours. In these two-day, Indian grid disturbances were regarded as the most serious and large-scale blackout in the world in history. A report has been generated by the enquiry committee which was organized by the Ministry of Power, Government of India, to investigate the factors which led to the initiation of the grid disturbance. Recommendations were also generated by the committee in order to provide the plan for Indian grid enhancement. Further to the recommendations by Enquiry Committee, this paper will give further suggestions to minimize blackouts in future. An insight into decision support requirement for power network operation will be made. © 2013 IEEE.",blackout; decision support; Indian grid; strategic planning,Artificial intelligence; Decision support systems; Learning systems; Strategic planning; blackout; Decision supports; Government of India; Grid disturbance; Indian grids; Large-scale blackout; Ministry of power; Power networks; Outages,,,IEEE Computer Society,2160133X,9781479902576,,,English,Proc. Int. Conf. Mach. Learn. Cybern.,Conference Paper,Scopus,2-s2.0-84907260883
"Gopi S., Netrapalli P., Jain P., Nori A.",One-bit compressed sensing: Provable support and vector recovery,2013,"30th International Conference on Machine Learning, ICML 2013",,PART 2,,1191,1199,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897473511&partnerID=40&md5=8d53a2eb40e59c629ca876c0280a251b,"IIT Bombay, Mumbai, India; University of Texas at Austin, Austin, TX 78705, United States; Microsoft Research India, Bangalore, India","Gopi, S., IIT Bombay, Mumbai, India; Netrapalli, P., University of Texas at Austin, Austin, TX 78705, United States; Jain, P., Microsoft Research India, Bangalore, India; Nori, A., Microsoft Research India, Bangalore, India","In this paper, we study the problem of one-bit compressed sensing (1-bit CS), where the goal is to design a measurement matrix A and a recovery algorithm such that a k-sparse unit vector x*can be efficiently recovered from the sign of its linear measurements, i.e., b = sign(Ax*). This is an important problem for signal acquisition and has several learning applications as well, e.g., multi-label classification (Hsu et ah, 2009). We study this problem in two settings: a) support recovery: recover the support of x*, b) approximate vector recovery: recover a unit vector x such that ||x - x*||2 ≤ e. For support recovery, we propose two novel and efficient solutions based on two combinatorial structures: union free families of sets and expanders. In contrast to existing methods for support recovery, our methods are universal i.e. a single measurement matrix A can recover all the signals. For approximate recovery, we propose the first method to recover a sparse vector using a near optimal number of measurements. We also empirically validate our algorithms and demonstrate that our algorithms recover the true signal using fewer measurements than the existing methods. Copyright 2013 by the author(s).",,Algorithms; Learning systems; Matrix algebra; Signal reconstruction; Vectors; Combinatorial structures; Linear measurements; Measurement matrix; Multi-label classifications; Recovery algorithms; Signal acquisitions; Sparse vectors; Support recoveries; Recovery,,,International Machine Learning Society (IMLS),,,,,English,"Int. Conf. Mach. Learn., ICML",Conference Paper,Scopus,2-s2.0-84897473511
"Sheldon D., Sun T., Kumar A., Dietterich T.G.",Approximate inference in collective graphical models,2013,"30th International Conference on Machine Learning, ICML 2013",,PART 3,,2041,2049,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897483228&partnerID=40&md5=11dba4bd4553c2043e66e1d9f45c4164,"University of Massachusetts, Amherst, MA 01002, United States; IBM Research, New Delhi 110070, India; Oregon State University, Corvallis, OR 97331, United States","Sheldon, D., University of Massachusetts, Amherst, MA 01002, United States; Sun, T., University of Massachusetts, Amherst, MA 01002, United States; Kumar, A., IBM Research, New Delhi 110070, India; Dietterich, T.G., Oregon State University, Corvallis, OR 97331, United States","We study the problem of approximate inference in collective graphical models (CGMs), which were recently introduced to model the problem of learning and inference with noisy aggregate observations. We first analyze the complexity of inference in CGMs: unlike inference in conventional graphical models, exact inference in CGMs is NP-hard even for tree-structured models. We then develop a tractable convex approximation to the NP-hard MAP inference problem in CGMs, and show how to use MAP inference for approximate marginal inference within the EM framework. We demonstrate empirically that these approximation techniques can reduce the computational cost of inference by two orders of magnitude and the cost of learning by at least an order of magnitude while providing solutions of equal or better quality. Copyright 2013 by the author(s).",,Learning systems; Approximate inference; Approximation techniques; Computational costs; Convex approximation; Exact inference; GraphicaL model; Orders of magnitude; Tree-structured; Graphic methods,,,International Machine Learning Society (IMLS),,,,,English,"Int. Conf. Mach. Learn., ICML",Conference Paper,Scopus,2-s2.0-84897483228
"Narasimhan H., Agarwal S.",A structural SVM based approach for optimizing partial AUC,2013,"30th International Conference on Machine Learning, ICML 2013",,PART 1,,516,524,,13,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897515691&partnerID=40&md5=877602d70faed2761651962eed31d4be,"Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India","Narasimhan, H., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India; Agarwal, S., Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India","The area under the ROC curve (AUC) is a widely used performance measure in machine learning. Increasingly, however, in several applications, ranging from ranking and biometric screening to medical diagnosis, performance is measured not in terms of the full area under the ROC curve, but instead, in terms of the partial area under the ROC curve between two specified false positive rates. In this paper, we develop a structural SVM framework for directly optimizing the partial AUC between any two false positive rates. Our approach makes use of a cutting plane solver along the lines of the structural SVM based approach for optimizing the full AUC developed by Joachims (2005). Unlike the full AUC, where the combinatorial optimization problem needed to find the most violated constraint in the cutting plane solver can be decomposed easily to yield an efficient algorithm, the corresponding optimization problem in the case of partial AUC is harder to decompose. One of our key technical contributions is an efficient algorithm for solving this combinatorial optimization problem that has the same computational complexity as Joachims' algorithm for optimizing the usual AUC. This allows us to efficiently optimize the partial AUC in any desired false positive range. We demonstrate the approach on a variety of real-world tasks. Copyright 2013 by the author(s).",,Algorithms; Biometrics; Combinatorial optimization; Diagnosis; Learning systems; Algorithm for solving; Area under the ROC curve; Combinatorial optimization problems; False positive rates; Optimization problems; Performance measure; Real-world task; Technical contribution; Optimization,,,International Machine Learning Society (IMLS),,,,,English,"Int. Conf. Mach. Learn., ICML",Conference Paper,Scopus,2-s2.0-84897515691
"Batra N., Dutta H., Singh A.",INDiC: Improved non-intrusive load monitoring using load division and calibration,2013,"Proceedings - 2013 12th International Conference on Machine Learning and Applications, ICMLA 2013",1,,6784591,79,84,,6,10.1109/ICMLA.2013.21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899423754&doi=10.1109%2fICMLA.2013.21&partnerID=40&md5=21cb320d2c85c1e677a472bdf37e2c7f,"Indraprastha Institute of Information Technology, Delhi, India; Center for Computational Learning Systems (CCLS), Columbia University, New York, NY, United States; IIIT-Delhi, India","Batra, N., Indraprastha Institute of Information Technology, Delhi, India; Dutta, H., Center for Computational Learning Systems (CCLS), Columbia University, New York, NY, United States, IIIT-Delhi, India; Singh, A., Indraprastha Institute of Information Technology, Delhi, India","Residential buildings contribute significantly to the overall energy consumption across most parts of the world. While smart monitoring and control of appliances can reduce the overall energy consumption, management and cost associated with such systems act as a big hindrance. Prior work has established that detailed feedback in the form of appliance level consumption to building occupants improves their awareness and paves the way for reduction in electricity consumption. Non-Intrusive Load Monitoring (NILM), i.e. the process of disaggregating the overall home electricity usage measured at the meter level into constituent appliances, provides a simple and cost effective methodology to provide such feedback to the occupants. In this paper we present Improved Non-Intrusive load monitoring using load Division and Calibration (INDiC) that simplifies NILM by dividing the appliances across multiple instrumented points (meters/phases) and calibrating the measured power. Proposed approach is used together with the Combinatorial Optimization framework and evaluated on the popular REDD dataset. Empirical results demonstrate significant improvement in disaggregation accuracy, achieved by using INDiC based Combinatorial Optimization, demonstrate significant improvement in disaggregation accuracy. © 2013 IEEE.",building systems; load disaggregation; machine learning; non-intrusive load monitoring,Calibration; Combinatorial optimization; Energy utilization; Building systems; Detailed feedbacks; Disaggregation; Electricity usage; Electricity-consumption; Nonintrusive load monitoring; Residential building; Smart monitoring; Learning systems,,,IEEE Computer Society,,,,,English,"Proc. - Int. Conf. Mach. Learn. Appl., ICMLA",Conference Paper,Scopus,2-s2.0-84899423754
